href,object,Favorites ,Appetizers ,Quick and Easy,Healthy,Dinner Party ,Grilling ,Dessert,Cake,*Member Recipes,Salad,Soup,Vegetable,Fruit,Beef,Chicken,Fish,Pizza,Pasta,Breads,Dips,Nuts,Sushi,Beverages,Thanksgiving,Christmas
https://cookbooks.com/Recipe-Details.aspx?id=8,ROCKY ROAD CAKE,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cookbooks.com/Recipe-Details.aspx?id=21,CHOCOLATE BOTTOM CUPCAKES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cookbooks.com/Recipe-Details.aspx?id=44,CHOCOLATE PUDDING DESSERT,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cookbooks.com/Recipe-Details.aspx?id=71,CHOCOLATE DIPPED STRAWBERRIES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
https://cookbooks.com/Recipe-Details.aspx?id=74,CHOCOLATE COVERED PEANUTS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cookbooks.com/Recipe-Details.aspx?id=96,CHOCOLATE DRINK MIX,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cookbooks.com/Recipe-Details.aspx?id=147,CREAM CHEESE SUGAR COOKIES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cookbooks.com/Recipe-Details.aspx?id=278,BANANA PUDDING,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cookbooks.com/Recipe-Details.aspx?id=279,FRUIT DIP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
https://cookbooks.com/Recipe-Details.aspx?id=304,BAGEL BITES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cookbooks.com/Recipe-Details.aspx?id=308,SPINACH DIP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
https://cookbooks.com/Recipe-Details.aspx?id=311,PEPPERCORN DIP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
https://cookbooks.com/Recipe-Details.aspx?id=317,TOSSED ITALIAN SALAD,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cookbooks.com/Recipe-Details.aspx?id=318,CHICKEN AND VEGETABLE NOODLE SOUP,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
https://cookbooks.com/Recipe-Details.aspx?id=332,ROMAINE-VEGETABLE SALAD,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
